timestamp,station_id,line_direction_cid,car1_congestion,car2_congestion,car3_congestion,car4_congestion,car5_congestion,car6_congestion
2025-07-14 21:41:49,BR18,1,1,1,1.0,1.0,0,0
2025-07-14 21:41:17,BR01,1,1,2,1.0,1.0,0,0
2025-07-14 21:40:55,BR20,2,1,1,1.0,1.0,0,0
2025-07-14 21:40:46,BR22,2,1,1,1.0,1.0,0,0
2025-07-14 21:40:40,BR13,2,2,2,2.0,2.0,0,0
2025-07-14 21:40:35,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 21:40:32,BR24,1,1,2,1.0,1.0,0,0
2025-07-14 21:40:30,BR17,2,1,1,2.0,2.0,0,0
2025-07-14 21:40:21,BR21,1,1,1,1.0,1.0,0,0
2025-07-14 21:39:34,BR08,2,1,1,1.0,1.0,0,0
2025-07-14 21:39:20,BR19,2,1,1,2.0,1.0,0,0
2025-07-14 21:39:06,BR02,1,1,2,1.0,1.0,0,0
2025-07-14 21:39:04,BR21,2,1,1,1.0,1.0,0,0
2025-07-14 21:39:03,BR13,1,2,2,1.0,3.0,0,0
2025-07-14 21:39:00,BR16,2,1,1,3.0,2.0,0,0
2025-07-14 21:38:39,BR22,1,1,1,1.0,1.0,0,0
2025-07-14 21:38:28,BR20,1,1,1,1.0,1.0,0,0
2025-07-14 21:38:11,BR23,2,1,1,1.0,1.0,0,0
2025-07-14 21:47:20,BR15,1,2,2,1.0,1.0,0,0
2025-07-14 21:46:57,BR03,2,1,1,1.0,1.0,0,0
2025-07-14 21:46:56,BR23,2,1,1,1.0,1.0,0,0
2025-07-14 21:46:09,BR07,2,1,1,1.0,1.0,0,0
2025-07-14 21:46:07,BR18,1,1,1,1.0,1.0,0,0
2025-07-14 21:45:57,BR10,1,2,1,1.0,2.0,0,0
2025-07-14 21:45:54,BR21,1,1,1,1.0,1.0,0,0
2025-07-14 21:45:52,BR15,2,2,2,2.0,2.0,0,0
2025-07-14 21:45:42,BR02,2,1,1,1.0,1.0,0,0
2025-07-14 21:45:30,BR11,2,1,1,2.0,3.0,0,0
2025-07-14 21:45:05,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 21:45:05,BR22,2,1,1,1.0,1.0,0,0
2025-07-14 21:44:29,BR06,2,1,1,1.0,1.0,0,0
2025-07-14 21:44:24,BR19,1,1,1,1.0,1.0,0,0
2025-07-14 21:44:10,BR19,2,1,1,2.0,2.0,0,0
2025-07-14 21:44:10,BR22,1,1,1,1.0,1.0,0,0
2025-07-14 21:44:00,BR14,2,2,2,1.0,2.0,0,0
2025-07-14 21:43:44,BR11,1,3,2,2.0,3.0,0,0
2025-07-14 21:43:37,BR10,2,1,1,1.0,2.0,0,0
2025-07-14 21:43:27,BR17,1,2,1,1.0,1.0,0,0
2025-07-14 21:43:22,BR21,2,1,1,1.0,1.0,0,0
2025-07-14 21:52:17,BR10,2,1,1,2.0,2.0,0,0
2025-07-14 21:51:45,BR23,2,1,1,2.0,1.0,0,0
2025-07-14 21:51:44,BR07,1,1,1,1.0,1.0,0,0
2025-07-14 21:51:43,BR18,1,1,1,1.0,1.0,0,0
2025-07-14 21:51:37,BR15,1,1,1,1.0,1.0,0,0
2025-07-14 21:51:28,BR21,1,1,1,1.0,1.0,0,0
2025-07-14 21:51:26,BR03,2,1,1,1.0,1.0,0,0
2025-07-14 21:51:14,BR18,2,2,1,2.0,2.0,0,0
2025-07-14 21:51:11,BR05,2,1,1,1.0,1.0,0,0
2025-07-14 21:50:23,BR09,2,1,1,1.0,2.0,0,0
2025-07-14 21:49:58,BR19,1,1,1,1.0,1.0,0,0
2025-07-14 21:49:54,BR22,2,1,1,2.0,1.0,0,0
2025-07-14 21:49:51,BR13,2,3,1,2.0,2.0,0,0
2025-07-14 21:49:50,BR17,2,2,2,2.0,2.0,0,0
2025-07-14 21:49:45,BR22,1,1,1,1.0,1.0,0,0
2025-07-14 21:49:21,BR14,1,3,2,1.0,1.0,0,0
2025-07-14 21:49:20,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 21:49:17,BR08,1,2,2,1.0,2.0,0,0
2025-07-14 21:49:14,BR16,1,1,1,1.0,1.0,0,0
2025-07-14 21:49:01,BR04,2,1,1,1.0,1.0,0,0
2025-07-14 21:48:36,BR08,2,1,1,1.0,1.0,0,0
2025-07-14 21:48:20,BR16,2,2,2,1.0,2.0,0,0
2025-07-14 21:48:19,BR20,1,1,1,1.0,1.0,0,0
2025-07-14 21:48:11,BR21,2,1,1,3.0,1.0,0,0
2025-07-14 21:57:24,BR11,1,3,2,2.0,2.0,0,0
2025-07-14 21:57:16,BR18,1,1,1,1.0,1.0,0,0
2025-07-14 21:57:16,BR21,2,1,1,1.0,1.0,0,0
2025-07-14 21:57:14,BR15,1,2,1,1.0,2.0,0,0
2025-07-14 21:56:59,BR24,1,1,2,1.0,1.0,0,0
2025-07-14 21:56:57,BR13,1,2,1,2.0,2.0,0,0
2025-07-14 21:56:00,BR12,2,1,1,2.0,2.0,0,0
2025-07-14 21:55:49,BR05,1,1,1,1.0,1.0,0,0
2025-07-14 21:55:42,BR05,2,1,1,1.0,1.0,0,0
2025-07-14 21:55:36,BR19,1,1,1,1.0,1.0,0,0
2025-07-14 21:55:18,BR22,1,1,1,1.0,1.0,0,0
2025-07-14 21:55:17,BR15,2,3,1,2.0,1.0,0,0
2025-07-14 21:55:07,BR09,2,1,1,1.0,1.0,0,0
2025-07-14 21:54:50,BR16,1,1,1,1.0,1.0,0,0
2025-07-14 21:54:50,BR20,2,1,1,1.0,1.0,0,0
2025-07-14 21:54:22,BR11,2,1,1,2.0,2.0,0,0
2025-07-14 21:54:11,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 21:53:54,BR20,1,1,1,1.0,1.0,0,0
2025-07-14 21:53:39,BR14,1,1,1,1.0,1.0,0,0
2025-07-14 21:53:32,BR04,2,1,1,1.0,1.0,0,0
2025-07-14 21:53:26,BR23,1,1,2,1.0,1.0,0,0
2025-07-14 21:53:26,BR14,2,3,1,2.0,1.0,0,0
2025-07-14 21:53:21,BR17,1,1,1,1.0,1.0,0,0
2025-07-14 21:53:21,BR06,1,1,1,1.0,1.0,0,0
2025-07-14 22:02:07,BR14,2,3,2,2.0,1.0,0,0
2025-07-14 22:01:41,BR11,1,2,1,1.0,2.0,0,0
2025-07-14 22:01:37,BR02,1,1,1,1.0,1.0,0,0
