feature
hour
minute
day_of_week
is_weekend
is_peak_hour
is_transfer_station
car_number
lag_5min_congestion
lag_1hr_congestion
station_id_BR01
station_id_BR02
station_id_BR03
station_id_BR04
station_id_BR05
station_id_BR06
station_id_BR07
station_id_BR08
station_id_BR09
station_id_BR10
station_id_BR11
station_id_BR12
station_id_BR13
station_id_BR14
station_id_BR15
station_id_BR16
station_id_BR17
station_id_BR18
station_id_BR19
station_id_BR20
station_id_BR21
station_id_BR22
station_id_BR23
station_id_BR24
line_direction_cid_1
line_direction_cid_2
